TransID,Date,PlantID,ItemType,InQty,OutQty,ReferenceType,ReferenceID
IT00001,07-06-2025,P002,FG,4088,0,Sale,REF421
IT00002,20-01-2025,P003,FG,3055,0,Purchase,REF828
IT00003,22-03-2025,P002,FG,1696,0,Production,REF510
IT00004,08-04-2025,P003,FG,2381,0,Purchase,REF1406
IT00005,15-06-2025,P003,RM,4614,0,Production,REF1461
IT00006,27-05-2025,P002,FG,179,0,Production,REF42
IT00007,25-04-2025,P002,RM,4021,0,Production,REF523
IT00008,10-03-2025,P002,FG,2852,0,Production,REF324
IT00009,30-05-2025,P003,RM,1380,0,Purchase,REF782
IT00010,28-02-2025,P001,RM,2986,0,Purchase,REF1261
IT00011,06-03-2025,P001,FG,4528,0,Production,REF306
IT00012,22-04-2025,P002,RM,2401,0,Purchase,REF839
IT00013,14-05-2025,P001,RM,2552,0,Purchase,REF1272
IT00014,17-06-2025,P003,RM,427,0,Production,REF1123
IT00015,12-02-2025,P001,RM,3852,0,Purchase,REF1235
IT00016,26-01-2025,P002,RM,631,0,Sale,REF255
IT00017,05-04-2025,P003,RM,3789,0,Purchase,REF1093
IT00018,03-01-2025,P002,RM,1530,0,Production,REF1052
IT00019,10-05-2025,P001,FG,169,0,Purchase,REF343
IT00020,09-02-2025,P001,RM,396,0,Sale,REF753
IT00021,29-04-2025,P001,FG,4701,0,Purchase,REF1455
IT00022,11-02-2025,P003,RM,900,0,Purchase,REF773
IT00023,15-03-2025,P002,FG,1113,0,Sale,REF809
IT00024,14-04-2025,P003,FG,4508,0,Sale,REF1065
IT00025,28-05-2025,P003,FG,2899,0,Production,REF1073
IT00026,09-05-2025,P002,RM,3339,0,Purchase,REF424
IT00027,05-04-2025,P002,RM,601,0,Sale,REF845
IT00028,18-03-2025,P002,RM,3134,0,Production,REF998
IT00029,25-02-2025,P002,RM,1627,0,Production,REF1210
IT00030,12-04-2025,P001,RM,1145,0,Purchase,REF466
IT00031,05-05-2025,P002,FG,3596,0,Sale,REF953
IT00032,29-04-2025,P001,FG,3043,0,Purchase,REF503
IT00033,17-03-2025,P002,RM,1192,0,Production,REF953
IT00034,20-01-2025,P003,FG,3166,0,Production,REF1050
IT00035,11-01-2025,P002,RM,4518,0,Production,REF679
IT00036,10-05-2025,P001,RM,1584,0,Purchase,REF299
IT00037,16-01-2025,P001,RM,4600,0,Sale,REF1068
IT00038,25-04-2025,P002,FG,3041,0,Sale,REF943
IT00039,14-03-2025,P002,RM,2842,0,Sale,REF1200
IT00040,05-05-2025,P002,RM,1010,0,Sale,REF1123
IT00041,18-01-2025,P001,FG,4639,0,Production,REF1353
IT00042,06-02-2025,P001,RM,3603,0,Purchase,REF1264
IT00043,11-04-2025,P001,RM,3144,0,Purchase,REF621
IT00044,19-02-2025,P002,RM,99,0,Production,REF311
IT00045,26-05-2025,P002,RM,3497,0,Purchase,REF136
IT00046,09-03-2025,P003,FG,1338,0,Purchase,REF449
